n_usuarios,clave,tipo,tiempo_ns
5000,id,exitosa,1547.0
5000,id,fallida,41.0
5000,screenName,exitosa,1768.0
5000,screenName,fallida,606.0
10000,id,exitosa,1772.0
10000,id,fallida,38.0
10000,screenName,exitosa,1560.0
10000,screenName,fallida,538.0
