n_usuarios,clave,tiempo_ms
0,id,0.0
5000,id,30.0
10000,id,57.0
15000,id,85.0
20000,id,112.0
25000,id,139.0
30000,id,167.0
35000,id,196.0
40000,id,227.0
0,screenName,0.0
5000,screenName,27.0
10000,screenName,53.0
15000,screenName,80.0
20000,screenName,110.0
25000,screenName,142.0
30000,screenName,174.0
35000,screenName,205.0
40000,screenName,240.0
