n_usuarios,clave,tipo,tiempo_ns
5000,id,exitosa,1172.5
5000,id,fallida,52.5
5000,screenName,exitosa,2323.8
5000,screenName,fallida,2603.3
10000,id,exitosa,1012.5
10000,id,fallida,36.2
10000,screenName,exitosa,2897.5
10000,screenName,fallida,2496.7
20000,id,exitosa,2072.9
20000,id,fallida,37.1
20000,screenName,exitosa,3638.8
20000,screenName,fallida,2496.7
