n_usuarios,clave,tiempo_ms
0,id,0.0
5000,id,30.0
10000,id,59.0
15000,id,90.0
20000,id,121.0
25000,id,155.0
30000,id,189.0
35000,id,219.0
40000,id,252.0
0,screenName,0.0
5000,screenName,31.0
10000,screenName,61.0
15000,screenName,92.0
20000,screenName,121.0
25000,screenName,153.0
30000,screenName,185.0
35000,screenName,215.0
40000,screenName,248.0
