n_usuarios,clave,tiempo_ms
5000,id,49.0
10000,id,90.0
15000,id,147.0
20000,id,203.0
25000,id,243.0
30000,id,306.0
35000,id,360.0
40000,id,418.0
5000,screenName,41.0
10000,screenName,85.0
15000,screenName,132.0
20000,screenName,188.0
25000,screenName,243.0
30000,screenName,291.0
35000,screenName,347.0
40000,screenName,403.0
