n_usuarios,clave,tiempo_ms
5000,id,32.0
10000,id,64.0
15000,id,96.0
20000,id,128.0
25000,id,162.0
30000,id,196.0
35000,id,229.0
40000,id,266.0
5000,screenName,39.0
10000,screenName,82.0
15000,screenName,128.0
20000,screenName,175.0
25000,screenName,226.0
30000,screenName,280.0
35000,screenName,329.0
40000,screenName,395.0
