n_usuarios,clave,tipo,tiempo_ns
5000,id,exitosa,1053.0
5000,id,fallida,51.0
5000,screenName,exitosa,1303.0
5000,screenName,fallida,1004.0
10000,id,exitosa,912.0
10000,id,fallida,39.0
10000,screenName,exitosa,1190.0
10000,screenName,fallida,554.0
