n_usuarios,clave,tipo,tiempo_ns
5000,id,exitosa,78.3
5000,id,fallida,50.8
5000,screenName,exitosa,291.7
5000,screenName,fallida,324.6
10000,id,exitosa,88.3
10000,id,fallida,57.1
10000,screenName,exitosa,276.2
10000,screenName,fallida,322.5
20000,id,exitosa,106.7
20000,id,fallida,43.3
20000,screenName,exitosa,323.8
20000,screenName,fallida,373.8
40000,id,exitosa,139.2
40000,id,fallida,50.4
40000,screenName,exitosa,316.2
40000,screenName,fallida,372.5
